Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
39218350,"Maid: Hard Work, Low Pay, and a Mother's Will to Survive",Stephanie  Land,"Land, Stephanie",Barbara Ehrenreich,"=""""","=""""",3,3.85,Hachette Books,Hardcover,289,2019,2019,,2024/06/12,,,read,,,,1,0
38315,Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets (Incerto),Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""0812975219""","=""9780812975215""",2,4.08,Random House Trade Paperbacks,Paperback,368,2005,2001,2024/11/22,2024/10/24,,,read,,,,1,0
171681821,The Anxious Generation: How the Great Rewiring of Childhood Caused an Epidemic of Mental Illness,Jonathan Haidt,"Haidt, Jonathan",,"=""0593655036""","=""9780593655030""",5,4.41,Penguin Press,Hardcover,385,2024,2024,2024/10/24,2024/08/26,,,read,,,,1,0
13356649,"The Joy of X: A Guided Tour of Math, from One to Infinity",Steven H. Strogatz,"Strogatz, Steven H.",,"=""0547517653""","=""9780547517650""",4,4.05,Houghton Mifflin Harcourt,Hardcover,316,2012,2012,2024/09/15,2024/01/17,,,read,,,,1,0
26889576,The Big Short: Inside the Doomsday Machine,Michael   Lewis,"Lewis, Michael",,"=""039335315X""","=""9780393353150""",5,4.30,W. W. Norton & Company,Paperback,291,2015,2010,2023/09/01,2023/09/01,,,read,,,,1,0
41795733,Range: Why Generalists Triumph in a Specialized World,David   Epstein,"Epstein, David",,"=""0735214484""","=""9780735214484""",0,4.14,Riverhead Books,Hardcover,352,2019,2019,,2024/09/05,to-read,to-read (#61),to-read,,,,0,0
60613920,"Of Boys and Men: Why the Modern Male Is Struggling, Why It Matters, and What to Do About It",Richard V. Reeves,"Reeves, Richard V.",,"=""1800750544""","=""9781800750548""",0,4.07,Swift Press,Hardcover,298,2022,2022,,2024/08/26,to-read,to-read (#60),to-read,,,,0,0
29780253,Born a Crime: Stories From a South African Childhood,Trevor Noah,"Noah, Trevor",,"=""""","=""""",5,4.49,Doubleday Canada,Hardcover,289,2016,2016,2024/08/25,2021/06/11,,,read,,,,1,0
37570546,Maybe You Should Talk to Someone,Lori Gottlieb,"Gottlieb, Lori",,"=""1328662055""","=""9781328662057""",4,4.38,Harper,Hardcover,415,2019,2019,2024/08/16,2024/08/16,,,read,,,,1,0
34766324,Titans of Finance: True Tales of Money & Business,Rob Walker,"Walker, Rob",Josh Neufeld,"=""""","=""""",0,4.12,Garrett County Press,Kindle Edition,24,2010,2001,2019/04/14,2020/04/12,,,read,,,,1,0
43852758,How To: Absurd Scientific Advice for Common Real-World Problems,Randall Munroe,"Munroe, Randall",,"=""0525537090""","=""9780525537090""",0,4.16,Riverhead Books,Hardcover,308,2019,2019,,2024/08/04,to-read,to-read (#59),to-read,,,,0,0
40102,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,"Gladwell, Malcolm","Barry Fox, Irina Henegar","=""0316010669""","=""9780316010665""",4,3.96,Back Bay Books,Paperback,296,2007,2005,2024/07/23,2021/06/11,,,read,,,,1,0
21413662,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,"Munroe, Randall",,"=""0544272994""","=""9780544272996""",0,4.14,Dey Street Books,Hardcover,303,2014,2014,,2024/07/21,to-read,to-read (#58),to-read,,,,0,0
57961073,Covid By Numbers: Making Sense of the Pandemic with Data,David Spiegelhalter,"Spiegelhalter, David",Anthony Masters,"=""0241547733""","=""9780241547731""",3,4.03,Pelican,Hardcover,300,2021,,2024/07/19,2023/09/01,,,read,,,,1,0
56769575,Stiff: The Curious Lives of Human Cadavers,Mary Roach,"Roach, Mary",,"=""0393881725""","=""9780393881721""",3,4.06,W. W. Norton & Company,Paperback,320,2021,2003,2024/06/30,2024/06/21,,,read,,,,1,0
12262741,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,"Strayed, Cheryl",,"=""0307592731""","=""9780307592736""",0,4.06,Knopf,Hardcover,336,2012,2012,,2024/06/30,to-read,to-read (#57),to-read,,,,0,0
62047984,Yellowface,R.F. Kuang,"Kuang, R.F.",,"=""000853277X""","=""9780008532772""",3,3.75,William Morrow,Hardcover,336,2023,2023,2024/06/18,2024/05/02,,,read,,,,1,0
40180021,Naked Economics: Undressing the Dismal Science,Charles Wheelan,"Wheelan, Charles",Burton G. Malkiel,"=""0393356493""","=""9780393356496""",5,4.03,W. W. Norton & Company,Paperback,400,2019,2002,2024/06/07,2022/11/01,,,read,,,,1,0
40242274,A Random Walk Down Wall Street: The Time-Tested Strategy for Successful Investing,Burton G. Malkiel,"Malkiel, Burton G.",,"=""1324002182""","=""9781324002185""",0,4.14,W. W. Norton & Company,Hardcover,432,2019,1973,,2024/06/06,to-read,to-read (#56),to-read,,,,0,0
3450744,"Nudge: Improving Decisions About Health, Wealth, and Happiness",Richard H. Thaler,"Thaler, Richard H.",Cass R. Sunstein,"=""014311526X""","=""9780143115267""",0,3.84,Penguin Books,Paperback,260,2009,2008,,2024/05/13,to-read,to-read (#55),to-read,,,,0,0
52582665,We Were Dreamers: An Immigrant Superhero Origin Story,Simu Liu,"Liu, Simu",,"=""0063046512""","=""9780063046511""",0,4.34,William Morrow,ebook,320,2022,2022,,2024/05/02,to-read,to-read (#54),to-read,,,,0,0
61358638,"Poverty, by America",Matthew Desmond,"Desmond, Matthew",,"=""0593239911""","=""9780593239919""",0,4.27,Crown,Hardcover,304,2023,2023,,2024/05/02,to-read,to-read (#53),to-read,,,,0,0
